job_url,title,company,location,date_posted,description,id,experience_required_filter1,llm_response,experience
https://in.indeed.com/viewjob?jk=0e615a8282256b4e,Kubernete Developer,Zoof Software Solutions Pvt. Ltd.,"Remote, IN",2024-12-05,"**Responsibilities:**

* Must have 5 to 8 yrs of relevant work experience
* Proven experience in developing and deploying applications on Kubernetes.
* Solid understanding of Kubernetes concepts (pods, deployments, services, etc.) and the Operator pattern.
* Experience with Go or another suitable language for backend development (Python, Java etc. can be a plus).
* Familiarity with Operator SDK or other frameworks for building Operators.
* Excellent communication and collaboration skills.
* Ability to work independently and as part of a team.
* A passion for learning and staying current with the latest technologies.

Job Type: Full\\\\\\\\-time

Pay: ₹80,000\\\\\\\\.00 \\\\\\\\- ₹90,000\\\\\\\\.00 per month

Benefits:

* Paid sick time
* Work from home

Schedule:

* Day shift
* Monday to Friday

Education:

* Bachelor's (Preferred)

Experience:

* Kubernetes: 6 years (Required)
* SDKs: 6 years (Required)
* Python: 6 years (Required)

Work Location: Remote",686,"* Must have 5 to 8 yrs of relevant work experience
* Proven experience in developing and deploying applications on Kubernetes.
* Solid understanding of Kubernetes concepts (pods, deployments, services, etc.)","Based on the provided job details, here are the years of experience extracted:

* Kubernetes: 6 years (Required)
* SDKs: 6 years (Required)
* Python: 6 years (Required)
* Go: 0 years (Not mentioned explicitly)

Since experience is not explicitly mentioned, the minimum value is 0 years.",6
https://in.indeed.com/viewjob?jk=4b359329ac0c06b7,Java developer,Purple Drive Technologies,"MH, IN",2024-12-05,"Job Description: Java Developer

**Experience**: 3\\\\\\\\+ years  
**Location**: Mumbai, Navi Mumbai, CBD Belapur  
**Employment Type**: Full\\\\\\\\-time  
**Interview Process**: Walk\\\\\\\\-in

**Job Summary**

We are seeking an experienced Java Developer with over 3 years of expertise to join our dynamic team. The candidate will work on innovative projects involving Java\\\\\\\\-based applications and must possess strong analytical and problem\\\\\\\\-solving skills. This is a walk\\\\\\\\-in interview opportunity, and candidates should be ready to attend in person.

**Key Responsibilities**

* Design, develop, and maintain Java applications for high performance and scalability.
* Collaborate with cross\\\\\\\\-functional teams to define, design, and deliver new features.
* Write clean, efficient, and well\\\\\\\\-documented code.
* Perform unit testing and debugging to ensure the quality of deliverables.
* Participate in code reviews and suggest improvements.
* Troubleshoot and resolve application issues in a timely manner.
* Stay updated with the latest trends and technologies in Java development.

**Required Skills**

* Strong programming skills in **Core Java** and **Java EE**.
* Hands\\\\\\\\-on experience with frameworks such as **Spring** (Spring Boot, Spring MVC) and **Hibernate**.
* Proficiency in **RESTful APIs** and **Microservices architecture**.
* Knowledge of **database technologies** like MySQL, PostgreSQL, or Oracle.
* Familiarity with **front\\\\\\\\-end technologies** like HTML, CSS, JavaScript (Angular/React experience is a plus).

***Interested candidates can mail your resume to vinitha@purpledrive.com***

Job Types: Full\\\\\\\\-time, Part\\\\\\\\-time, Permanent, Contractual / Temporary, Freelance, Internship

Pay: ₹304,928\\\\\\\\.46 \\\\\\\\- ₹1,467,454\\\\\\\\.69 per year

Benefits:

* Health insurance
* Paid sick time

Location Type:

* In\\\\\\\\-person

Schedule:

* Monday to Friday
* Morning shift
* Night shift
* US shift

Education:

* Bachelor's (Preferred)

Experience:

* total work: 3 years (Required)
* Java: 2 years (Preferred)
* Microservices: 1 year (Required)

License/Certification:

* Java (Preferred)

Work Location: In person

Application Deadline: 08/12/2024  
Expected Start Date: 02/01/2025",687,Experience,"Based on the job details, here are the extracted years of experience:

1. ""Experience: 3+ years"" → 3
2. ""3-5 years of experience in software development"" → 3
3. ""6-8 years of relevant experience in software development"" → 6
4. ""At least five years of experience in a managerial role"" → 5
5. ""Experience: None required"" → 0",8
https://in.indeed.com/viewjob?jk=6e02934833933e7b,Nodejs Developer (4 years+),Evervent Pvt Ltd,"PB, IN",2024-12-05,"**About Evervent**

Evervent stands for “Forever Innovative”, founded by technology and insurance industry experts, it started as an online insurance intermediary in 2013, with technology in its core of all processes and practice. Evervent now, develops technology that enables insurance and fintech industry to go digital.

**What are we looking for**

* We are looking for a Node.js Developer responsible for developing the server\\\\\\\\-side logic, definition and maintenance of the central database, and ensuring high performance and responsiveness to requests from the front\\\\\\\\-end. You will also be responsible for integrating the front\\\\\\\\-end elements built by your co\\\\\\\\-workers into the application. Therefore, a basic understanding of front\\\\\\\\-end technologies is necessary as well.
* Integration of user\\\\\\\\-facing elements developed by front\\\\\\\\-end developers with server side logic
* Writing reusable, testable, and efficient code
* Design and implementation of low\\\\\\\\-latency, high\\\\\\\\-availability, and performant applications
* Implementation of security and data protection
* Documenting Node.js processes, including database schemas, as well as preparing reports.
* Recommending and implementing improvements to processes and technologies.

**Skills Required**

* Strong proficiency with JavaScript
* Knowledge of Node.js and its frameworks
* Understanding the nature of asynchronous programming and its quirks and workarounds
* Good understanding of server\\\\\\\\-side templating languages
* Good understanding of server\\\\\\\\-side CSS pre processors
* Basic understanding of front\\\\\\\\-end technologies, such as HTML5, and CSS3
* Understanding accessibility and security compliance
* User authentication and authorization between multiple systems, servers, and environments
* Integration of multiple data sources and databases into one system
* Understanding fundamental design principles behind a scalable application
* Understanding differences between multiple delivery platforms, such as mobile vs. desktop, and optimizing output to match the specific platform
* Creating database schemas that represent and support business processes
* Implementing automated testing platforms and unit tests
* Proficient understanding of code versioning tools, such as Git

**Experience :**

* 3\\\\\\\\+ years of NodeJs Application development experience is must.
* Deep understanding of client side development, coding in HTML5, CSS3, JavaScript ES6, and jQuery.
* Strong experience using a client side MVC framework such as NodeJS, React JS, NextJS, Redux, and AngularJS.
* Topnotch programming skills and write code for robust software design.
* Experience in responsive design, cross browser compatibility and website performance
* Experience in object oriented design skills. \\\\\\\\- Aggressive problem diagnosis and creative problem solving skills.
* Good understanding of how browsers and DOM work. \\\\\\\\- Experience with Git. \\\\\\\\- Experience with handling Services, RESTful, APIs

Job Types: Full\\\\\\\\-time, Permanent

Pay: Up to ₹1,200,000\\\\\\\\.00 per year

Schedule:

* Day shift

Experience:

* total working: 4 years (Required)",688,Experience :**,"Based on the job details, here are the years of experience required for each job step:

### 1. ""Exp - 5+ Years"" → 5
* Job Type: Full-time, Permanent
* Pay: Up to ₹1,200,000.00 per year
* Schedule: Day shift
* Experience: 5+ years

### 2. ""Must have 7 years of hands-on developer experience."" → 7
* Job Type: Full-time,",200
https://in.indeed.com/viewjob?jk=ca3db4580158c782,MERN Stack Developer,Geek Web Solution,"GJ, IN",2024-12-05,"**Location:** Onsite Surat  
**Experience:** 2\\\\\\\\+ Years  
**Company:** Geek Web Solution

**About Geek Web Solution:**  
Geek Web Solution is a dynamic and innovative IT company specializing in \\\\\\\\[insert key services/products from your website]. We believe in delivering excellence and fostering a collaborative work culture.

**Role Overview:**  
We are seeking a talented and experienced **MERN Stack Developer** to join our growing team. The ideal candidate should have excellent technical expertise, a passion for coding, and strong English communication skills to collaborate effectively with team members and clients.

**Key Responsibilities:**

* Develop, test, and deploy scalable web applications using the MERN (MongoDB, Express.js, React.js, Node.js) stack.
* Collaborate with cross\\\\\\\\-functional teams to define, design, and ship new features.
* Optimize applications for maximum speed and scalability.
* Troubleshoot and debug application issues, ensuring high performance and responsiveness.
* Write clean, maintainable, and efficient code following industry best practices.
* Stay up\\\\\\\\-to\\\\\\\\-date with emerging technologies and contribute to team knowledge sharing.

**Required Skills and Qualifications:**

* Bachelor’s degree in Computer Science, Information Technology, or a related field.
* Minimum of 2 years of professional experience working with the MERN stack.
* Proficiency in front\\\\\\\\-end technologies (HTML5, CSS3, JavaScript, React.js).
* Expertise in back\\\\\\\\-end development with Node.js and Express.js.
* Hands\\\\\\\\-on experience with MongoDB, including data modeling and performance optimization.
* Strong understanding of RESTful APIs and integration.
* Familiarity with version control systems (e.g., Git).
* Exceptional problem\\\\\\\\-solving skills and attention to detail.
* Excellent English communication skills, both written and verbal.

**Nice\\\\\\\\-to\\\\\\\\-Have Skills:**

* Experience with cloud platforms such as AWS or Azure.
* Knowledge of CI/CD pipelines.
* Familiarity with GraphQL or other modern frameworks.
* Experience of client communication.

**Why Join Us?**

* Opportunity to work in a fast\\\\\\\\-paced and collaborative environment.
* Exposure to exciting projects and cutting\\\\\\\\-edge technologies.
* Continuous learning and professional growth opportunities.
* 5 Days working
* Paid Leaves
* Leave Encashment
* Friendly Work Environment
* Free snacks the whole day

Job Types: Full\\\\\\\\-time, Permanent

Pay: ₹20,000\\\\\\\\.00 \\\\\\\\- ₹80,000\\\\\\\\.00 per month

Benefits:

* Leave encashment
* Paid time off

Schedule:

* Day shift
* Monday to Friday

Supplemental Pay:

* Overtime pay

Education:

* Bachelor's (Preferred)

Experience:

* total work: 2 years (Required)
* MERN: 2 years (Required)

Language:

* English (Required)

Location:

* Surat, Gujarat (Required)

Work Location: In person",689,Experience,"Here are the years of experience required for each job detail:

1. ""Exp - 5+ Years"" → 5
2. ""Must have 7 years of hands-on developer experience."" → 7
3. ""6-8 years of relevant experience in software development in skills listed below."" → 6
4. ""At least five years of experience in a managerial role."" → 5
5. ""Experience: None required."" → 0
6. ""Pro",8
https://in.indeed.com/viewjob?jk=39b731099e012364,Angular Developer,BootesNull,"PB, IN",2024-12-05,"We are looking for an experienced front\\\\\\\\-end engineer to assist current efforts in creating and maintaining an internal library of components and services with Angular and Lit (a vanilla JavaScript package). This individual will be a part of an Agile SCRUM team and will be expected to attend all SCRUM ceremonies.

**Requirements/Expectations:** 

* Work in a cross\\\\\\\\-collaborative environment with fellow developers and designers.
* Develop re\\\\\\\\-usable front\\\\\\\\-end components from existing designer mocks.
* Maintain developer documentation for an internal library.
* Fix bugs and perform RCA on existing features.
* Frontend Development experience
* 3\\\\\\\\+ years’ experience working with Angular
* Proficiency in other JavaScript frameworks (React/Lit)
* Experience in creating re\\\\\\\\-usable components with JavaScript frameworks
* Experience in automated testing tools (Cypress preferred)

Job Types: Full\\\\\\\\-time, Permanent

Pay: ₹600,000\\\\\\\\.00 \\\\\\\\- ₹800,000\\\\\\\\.00 per year

Benefits:

* Provident Fund

Schedule:

* Day shift
* Fixed shift
* Monday to Friday
* Morning shift

Supplemental Pay:

* Performance bonus
* Yearly bonus

Experience:

* Angular: 3 years (Preferred)

Location:

* Mohali, Punjab (Preferred)

Work Location: In person",690,"* Maintain developer documentation for an internal library.
* Fix bugs and perform RCA on existing features.
* Frontend Development experience
* 3\\\\\\\\+ years’ experience working with Angular
* Proficiency in other JavaScript frameworks (React/Lit)
* Experience in creating re\\\\\\\\-usable components","Based on the provided job text, here are the years of experience required for each position:

1. Front-end Engineer - ""Experience: 3+ years"" → 3
2. Angular Developer - ""Experience: 3+ years"" → 3
3. Developer Documentation - ""Experience: None required"" → 0
4. Bug Fixer and Tester - ""Experience: 3+ years"" → 3
5. Front-end Developer - ""Experience: None required""",5
https://in.indeed.com/viewjob?jk=ffc1dc34646eda5a,AEM Developer,American Chase LLP,"Remote, IN",2024-12-05,"**Freelancing Opportunity**

**AEM Tech Lead with Angular**

**Job Description**

**About the Role:**

As an AEM Tech Lead with Angular, you will play a pivotal role in designing, developing, and implementing robust web content management solutions using Adobe Experience Manager (AEM) and Angular. You will lead technical teams, guide development efforts, and ensure the delivery of high\\\\\\\\-quality, scalable, and user\\\\\\\\-centric digital experiences.

**Key Responsibilities:**

* **Technical Leadership:**
* Lead and mentor a team of developers, providing technical guidance and support.
* Drive technical decision\\\\\\\\-making and architectural design for AEM projects.
* Oversee the development lifecycle, including requirements gathering, design, development, testing, and deployment.
* **AEM Development:**
* Design, develop, and configure AEM components, templates, workflows, and integrations.
* Leverage AEM's capabilities to create dynamic and personalized digital experiences.
* Optimize AEM performance and scalability.
* **Angular Development:**
* Develop robust and efficient Angular applications to enhance AEM's front\\\\\\\\-end capabilities.
* Integrate Angular components with AEM's backend services.
* Ensure seamless user experiences across different devices and browsers.
* **Technical Expertise:**
* Stay up\\\\\\\\-to\\\\\\\\-date with the latest AEM and Angular technologies and trends.
* Troubleshoot and resolve complex technical issues.
* Contribute to the development of best practices and standards.
* **Client Collaboration:**
* Collaborate with clients to understand their business requirements and translate them into technical solutions.
* Communicate effectively with both technical and non\\\\\\\\-technical stakeholders.
* **Project Management:**
* Estimate project timelines and resource allocation.
* Manage project risks and dependencies.
* Ensure adherence to project timelines and budgets.

**Required Qualifications:**

* Bachelor's degree in Computer Science or a related field.
* 5\\\\\\\\+ years of experience in AEM development, including hands\\\\\\\\-on experience with AEM 6\\\\\\\\.x or later.
* 3\\\\\\\\+ years of experience in Angular development.
* Strong proficiency in Java, JavaScript, HTML, CSS, and other web technologies.
* In\\\\\\\\-depth knowledge of AEM's core concepts, including Sling, OSGi, and JCR.
* Experience with AEM authoring, publishing, and workflow configurations.
* Experience with AEM integrations with other systems (e.g., CRM, ERP, marketing automation).
* Strong problem\\\\\\\\-solving and analytical skills.
* Excellent communication and interpersonal skills.
* Ability to work independently and as part of a team.1

**Preferred Qualifications:**

* AEM certifications (e.g., AEM Developer, AEM Architect).
* Experience with AEM Headless and GraphQL.
* Experience with cloud platforms (e.g., AWS, Azure, GCP).
* Knowledge of DevOps practices and tools (e.g., Jenkins, CI/CD pipelines).

Job Types: Part\\\\\\\\-time, Freelance  
Contract length: 12 months

Pay: ₹40,000\\\\\\\\.00 \\\\\\\\- ₹50,000\\\\\\\\.00 per month

Expected hours: 30 per week

Benefits:

* Work from home

Schedule:

* Night shift
* US shift

Experience:

* total work: 5 years (Required)

Shift availability:

* Night Shift (Required)
* Overnight Shift (Required)

Work Location: Remote

Application Deadline: 08/12/2024",691,"with Angular, you will play a pivotal role in designing, developing, and implementing robust web content management solutions using Adobe Experience Manager (AEM) and Angular. You will lead technical teams, guide development efforts, and ensure the delivery of high\\\\\\\\-quality, scalable, and","Based on the provided job details, I can extract the years of experience as follows:

1. ""Experience: None required."" → 0
2. ""5+ Years"" → 5
3. ""6-8 years of relevant experience in software development"" → 6 (minimum value since no range is given)
4. ""Must have 7 years of hands-on developer experience."" → 7
5. ""6-8 years of relevant experience in software development in skills listed",8
https://in.indeed.com/viewjob?jk=1f6bc40244f03bfb,Database Developer,Intellect Software Solutions,"MH, IN",2024-12-05,"* Hands\\\\\\\\-on ability to write complex SQL queries and stored procedures in MS SQL Server
* Sound experience in database indexing and query optimization techniques
* Hands\\\\\\\\-on experience in key database administration areas such as backup, restore, maintenance plan, job scheduling, and troubleshooting SQL Server issues
* Strong attention to detail and work ethic
* Candidate must possess the judgment, initiative, and drive to adapt to change and successfully function in a team environment
* Basics of SSIS, SSRS and SSAS will be an added advantage.

Job Types: Full\\\\\\\\-time, Permanent

Pay: ₹240,000\\\\\\\\.00 \\\\\\\\- ₹900,000\\\\\\\\.00 per year

Schedule:

* Day shift

Supplemental Pay:

* Performance bonus
* Yearly bonus

Experience:

* total work: 2 years (Required)

Work Location: In person",692,"* Hands\\\\\\\\-on ability to write complex SQL queries and stored procedures in MS SQL Server
* Sound experience in database indexing and query optimization techniques
* Hands\\\\\\\\-on experience in key database administration areas such as backup, restore, maintenance","Based on the job details provided, here are the years of experience extracted:

1. ""Hands\\\\\\\\-on ability to write complex SQL queries and stored procedures in MS SQL Server"" → 0
2. ""Sound experience in database indexing and query optimization techniques"" → 0
3. ""Hands\\\\\\\\-on experience in key database administration areas such as backup, restore, maintenance plan, job scheduling, and troubleshooting SQL Server issues"" → 0
4. ""Strong attention to detail and",4
https://in.indeed.com/viewjob?jk=f4e0d5c5cf002e22,Wealth Management-Bengaluru-Analyst-Software Engineering,Goldman Sachs,"KA, IN",2024-12-05,"**How will you fulfill your potential?**

* Work with a global team of highly motivated platform engineers and software developers building integrated architectures for secure, scalable infrastructure services serving a diverse set of use cases.
* Partner with colleagues from across technology and risk to ensure an outstanding Private Bank platform is delivered.
* Help to provide frictionless integration with the firm’s runtime, deployment and SDLC technologies.
* Collaborate on feature design and problem solving.
* Help to ensure reliability, define, measure, and meet service level objectives.
* Quality coding \\\\\\\\& integration, testing, release, and demise of software products supporting Private Bank (PB) functions.
* Engage in quality assurance and production troubleshooting.
* Help to communicate and promote best practices for software engineering across the Wealth Management tech stack.

**Basic Qualifications**

* A strong grounding in software engineering concepts and implementation of architecture design patterns.
* A good understanding of multiple aspects of software development in microservices architecture, full stack development experience, Identity / access management and technology risk.
* Sound SDLC and practices and tooling experience \\\\\\\\- version control, CI/CD and configuration management tools.
* Ability to communicate technical concepts effectively, both written and orally, as well as interpersonal skills required to collaborate effectively with colleagues across diverse technology teams.
* Experience meeting demands for high availability and scalable system requirements.
* Ability to reason about performance, security, and process interactions in complex distributed systems.
* Ability to understand and effectively debug both new and existing software.
* Experience with metrics and monitoring tooling, including the ability to use metrics to rationally derive system health and availability information.
* Experience in auditing and supporting software based on sound SRE principles.

**Preferred Qualifications**

* Experience using and/or supporting Java based frameworks \\\\\\\\& SQL / NOSQL data stores.
* Experience with deploying software to containerized environments \\\\\\\\- Kubernetes/Docker.
* Scripting skills using Python, Shell or bash.
* Experience with Terraform or similar infrastructure\\\\\\\\-as\\\\\\\\-code platforms.
Experience building services using public cloud providers such as AWS, Azure or GCP.ABOUT GOLDMAN SACHS  
* 

  

At Goldman Sachs, we commit our people, capital and ideas to help our clients, shareholders and the communities we serve to grow. Founded in 1869, we are a leading global investment banking, securities and investment management firm. Headquartered in New York, we maintain offices around the world.  

  

We believe who you are makes you better at what you do. We're committed to fostering and advancing diversity and inclusion in our own workplace and beyond by ensuring every individual within our firm has a number of opportunities to grow professionally and personally, from our training and development opportunities and firmwide networks to benefits, wellness and personal finance offerings and mindfulness programs. Learn more about our culture, benefits, and people at GS.com/careers.  

  

We’re committed to finding reasonable accommodations for candidates with special needs or disabilities during our recruiting process. Learn more: https://www.goldmansachs.com/careers/footer/disability\\\\\\\\-statement.html  

  

  

© The Goldman Sachs Group, Inc., 2023\\\\\\\\. All rights reserved.
Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Veteran/Sexual Orientation/Gender Identity",693,"of architecture design patterns.
* A good understanding of multiple aspects of software development in microservices architecture, full stack development experience","Here are the years of experience extracted from the job details:

1. ""Proven Experience"" → 1
2. ""Experience: None required."" → 0
3. ""6-8 years of relevant experience in software development in skills listed below."" → 6
4. ""6-8 years of relevant experience in software development in skills listed below."" → 6
5. ""Experience meeting demands for high availability and scalable system requirements."" → 0
6. """,8
https://in.indeed.com/viewjob?jk=b24e9f46f3f1daf8,Full Stack Developer,Axieva Technology Pvt Ltd.,"Gautam Budh Nagar, UP, IN",2024-12-05,"*Job Title: Senior Full\\\\\\\\-Stack Developer (Lead Developer)* 

**Location:** Sector 62, Noida

**Experience:** 6\\\\\\\\-7 years

**Job Type:** Full\\\\\\\\-time

**About Axieva:** 

Axieva is one of the fastest growing fintech company with headquarter in UAE and regional offices in India and Africa. We take privilege in working with leading brands like TATA, Amazon, Airtel, Vodacom, Reliance and many more offering world\\\\\\\\-class solutions and services.

**Why Join Us?** 

\\\\\\\\- Inclusive work environment valuing diversity

\\\\\\\\- Global career opportunities

\\\\\\\\- 5\\\\\\\\-day workweek with positive and friendly environment

\\\\\\\\- Rapidly growing company

\\\\\\\\- International Travel Opportunity

\\\\\\\\- We believe in our people's brightness of future. As a high growth company, you will have the opportunity to advance your career in any direction you choose, locally or globally

**Key Responsibilities:** 

* Develop and maintain web applications using React.js and Node.js.
* Design and implement backend services with Spring framework.
* Manage and optimize databases using MongoDB and MySQL.
* Collaborate with cross\\\\\\\\-functional teams to define, design, and ship new features.
* Ensure the performance, quality, and responsiveness of applications.

**Preferred Languages and Technical Skills:** 

* Programming Languages: Proficiency in Java, Python, JavaScript, and C\\\\\\\\+\\\\\\\\+.
* Front\\\\\\\\-End Development: Strong skills in HTML, CSS, JavaScript, and frameworks like React.js or Vue.js.
* Back\\\\\\\\-End Development: Experience with server\\\\\\\\-side programming, database management (SQL \\\\\\\\& NoSQL), and cloud platforms.
* Database Management: Expertise in MongoDB, MySQL, and tools like Redis for caching.
* API Development: Building and securing RESTful services, and familiarity with GraphQL.
* Emerging Technologies: Knowledge of blockchain, AI, and cloud computing.
* Security Best Practices: Understanding of financial regulations and security measures.

**Qualifications:** 

* 6\\\\\\\\+ years of experience in fullstack development.
* Strong proficiency in React.js, Node.js, Spring, MongoDB, and MySQL.
* Experience in the fintech industry is highly desirable.
* Excellent problem\\\\\\\\-solving skills and attention to detail.
* Ability to work effectively in a team environment.

**What We Offer:** 

* Competitive salary
* Opportunities for career growth
* Collaborative work environment
* Recognition and rewards

**How to Apply:** 

If you're a motivated and talented Java developer looking for a leadership role, please submit your resume and cover letter at **hr@axieva.com** 

Job Types: Full\\\\\\\\-time, Permanent

Pay: ₹1,000,000\\\\\\\\.00 \\\\\\\\- ₹1,500,000\\\\\\\\.00 per year

Benefits:

* Health insurance
* Paid sick time
* Paid time off
* Provident Fund
* Work from home

Schedule:

* Day shift
* Fixed shift
* Monday to Friday
* Weekend availability

Supplemental Pay:

* Performance bonus

Education:

* Bachelor's (Preferred)

Experience:

* Angular: 4 years (Preferred)
* total work: 5 years (Preferred)
* Java: 5 years (Preferred)

Work Location: In person

Application Deadline: 18/12/2024  
Expected Start Date: 01/01/2025",694,Experience,"Here are the years of experience extracted from the job details:

1. ""6-7 years of relevant experience in software development in skills listed below."" → 6 (use the minimum value if a range is given)
2. ""Experience: None required."" → 0
3. ""6-8 years of relevant experience in software development in skills listed below."" → 6 (minimum value)
4. ""At least five years of experience in a managerial role."" → 5
5",8
https://in.indeed.com/viewjob?jk=a7fb1671a68cbe49,Dot Net Developer,IBCS TECHNOLOGIES,"TN, IN",2024-12-05,"**JOB DESCRIPTION:**

Software Engineer \\\\\\\\- 4 \\\\\\\\- 13 years

Web Development : ASP.Net, C\\\\\\\\#, .NET CORE, MVC, ADO.Net, WEB API, WCF

Approch : Entity Framework (Must) , LINQ Queries

Client Side Scripting : Java Script, JQUERY, AJAX, CSS, HTML5, ,

IDE, Components, Tools : VS2022, VS Code

Web Servers : IIS 5\\\\\\\\.0/6\\\\\\\\.0/7\\\\\\\\.0

RDBMS : MS\\\\\\\\-SQL Server

Any Experiance in AZURE Environment, Knockout JS, MongoDB added advantage

Job Type: Full\\\\\\\\-time

Pay: ₹50,000\\\\\\\\.00 \\\\\\\\- ₹100,000\\\\\\\\.00 per month

Benefits:

* Provident Fund

Schedule:

* Day shift

Supplemental Pay:

* Yearly bonus

Education:

* Bachelor's (Preferred)

Experience:

* total work: 4 years (Preferred)
* .NET: 4 years (Preferred)

Work Location: In person",695,Experience,"Here are the years of experience extracted from the job details:

1. ""4 \\\\\\\\- 13 years"" → 13
2. ""At least five years of experience in a managerial role."" → 5
3. ""Experience: None required."" → 0
4. ""Proven Experience"" → 1
5. ""6-8 years of relevant experience in software development in skills listed below."" → 6
6. ""Web Development : ASP.Net, C",13
