description,job_url,title,experience,llm_response
"Orion Innovation is a premier, award\\\\-winning, global business and technology services firm. Orion delivers game\\\\-changing business transformation and product development rooted in digital strategy, experience design, and engineering, with a unique combination of agility, scale, and maturity. We work with a wide range of clients across many industries including financial services, professional services, telecommunications and media, consumer products, automotive, industrial automation, professional sports and entertainment, life sciences, ecommerce, and education.


**Job description**


**Job Functions/Duties and Responsibilities:**


* Hands\\\\-on development using Java and related technologies
* Design and development of scalable resilient financial systems.
* Produce high quality maintainable code while enforcing development best practices
* Collaborate with other team members through peer programming and code reviews.
* Work in the Agile development methodologies, collaborating with business and technology teams located globally
* Actively contribute and participate in sprint grooming and planning discussions, daily stand\\\\-ups, and Agile ceremonies
* Take ownership of code components from analysis to development to unit testing as well as production support


**Skills Required:**



4 to 6 years of hands on experience in java and related technologies


* Core Java
* Java EE
* Spring (core, aspect, boot, batch)
* Web Services (XML, JSON , REST, SOAP)
* Relational databases (SQL server, DB2\\\\)
* Understanding of non\\\\-functional requirements (security, scalability, reliability)
* Strong analytical and problem\\\\-solving skills
* Excellent communication, organizational, and planning skills
* Working experience of Agile development methodologies and of DevOps integration
* Exposure to JIRA or other ALM tools to create a productive, high quality development
* Ability to work in a fast paced and dynamic environment


**Skills Desired:**


* ***UI Technologies (Angular, React, Typescript, Javascript, HTML, CSS)***
* Messaging technologies(Kafka, MQ)
* Unix/Linux and/or any scripting language (perl)
* NoSQL databases (MongoDB)
* Experience working with public Cloud (Azure or AWS)
* Knowledge of Financial market, lending based products and Wealth Management


Orion is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, citizenship status, disability status, genetic information, protected veteran status, or any other characteristic protected by law.



Candidate Privacy Policy



Orion Systems Integrators, LLC and its subsidiaries and its affiliates (collectively, ""Orion,"" ""we"" or ""us"") are committed to protecting your privacy. This Candidate Privacy Policy (orioninc.com) (""Notice"") explains:


* What information we collect during our application and recruitment process and why we collect it;
* How we handle that information; and
* How to access and update that information.


Your use of Orion services is governed by any applicable terms in this notice and our general Privacy Policy.",https://in.indeed.com/viewjob?jk=52a85368778273ea,Java Full Stack Developer Mumbai,4.0,The years of experience required for this job is 4.
"We are seeking a skilled MERN Stack Developer to join our team and contribute to the development of our web applications. The ideal candidate will have a strong background in full\\\\-stack development using the MERN (MongoDB, Express.js, React.js, Node.js) stack.

Key Responsibilities:

\\\\* Develop and maintain web applications using the MERN stack.

\\\\* Design and implement user interfaces with React.js.

\\\\* Write reusable, testable, and efficient code in Node.js.

\\\\* Integrate data storage solutions using MongoDB.

\\\\* Collaborate with cross\\\\-functional teams to define and implement new features.

\\\\* Optimize applications for maximum speed and scalability.

\\\\* Conduct code reviews and provide constructive feedback to team members.

\\\\* Stay up\\\\-to\\\\-date with emerging technologies and best practices in web development.

Requirements:

\\\\* Minimum 1 year experience required

\\\\* Proven experience as a MERN Stack Developer or similar role.

\\\\* Strong proficiency in JavaScript, including ES6\\\\+ features.

\\\\* Experience with React.js and its core principles, such as Virtual DOM and state management.

\\\\* Solid understanding of Node.js and its ecosystem, including Express.js.

\\\\* Familiarity with MongoDB and database design principles.

\\\\* Experience with version control systems, such as Git.

\\\\* Excellent problem\\\\-solving and analytical skills.

Job Types: Full\\\\-time, Permanent

Schedule:

* Day shift

Education:

* Bachelor's (Preferred)

Experience:

* total work: 1 year (Required)

Work Location: In person",https://in.indeed.com/viewjob?jk=11fd790efbb8d867,MERN Stack Developer,1.0,The years of experience required for this job is 1.
"Location: Gurugram, On\\\\-site   
Department:\\\\&nbsp;Technology   
Type:\\\\&nbsp;Full\\\\-time

About Us:   
http://lcx.com/\\\\&nbsp;is a secure and compliant platform for buying, selling, transferring, and storing digital currency. The LCX Exchange is a regulated trading venue offering a range of digital currencies. LCX is a Fintech company focusing on tokenizing assets, utility and security token offerings, and advanced trading tools. In 2020, LCX gained regulatory approval for 8 blockchain\\\\-related registrations by the Financial Market Authority. LCX was founded in 2018 with headquarters in Vaduz (Liechtenstein) and branches in Crypto\\\\-Valley Zug (Switzerland) and New Delhi (India).\\\\&nbsp;

Key Responsibilities:

* Develop, test, and maintain web applications using modern web technologies
* Collaborate with product managers, designers, and other developers to create seamless user experiences
* Design and implement RESTful APIs to support web and mobile applications
* Ensure cross\\\\-platform optimization for mobile responsiveness and overall performance
* Develop front\\\\-end architecture, ensuring the responsiveness and performance of applications
* Write clean, maintainable, and scalable code following best practices
* Debug and troubleshoot application performance issues and work to improve overall performance
* Participate in code reviews and contribute to a continuous improvement process
* Stay up to date with emerging trends and technologies in the industry
* Implement security and data protection features for web applications

Required Skills and Qualifications:

* Proven experience as a Full Stack Developer or similar role
* 5\\\\+ yrs of experience
* Proficiency with front\\\\-end languages such as JavaScript, and frameworks like React.js
* Proficiency with back\\\\-end languages such as Node.js
* Experience with database technologies like MySQL, MongoDB, or PostgreSQL
* Strong knowledge of version control tools (e.g., Git)
* Experience with cloud platforms (AWS, Azure, GCP)
* Understanding of DevOps principles, CI/CD pipelines, and containerization (Docker/Kubernetes)
* Strong problem\\\\-solving skills and attention to detail
* Excellent communication and teamwork skills

Preferred Qualifications:

* Experience with blockchain and cryptocurrency technologies is a plus
* Familiarity with Agile methodologies
* Experience working in a fast\\\\-paced, startup environment

Benefits:

* Competitive salary and performance\\\\-based bonuses
* Professional development and training opportunities
* Collaborative and innovative work environment

Job Type: Full\\\\-time

Pay: ₹2,000,000\\\\.00 \\\\- ₹2,300,000\\\\.00 per year",https://in.indeed.com/viewjob?jk=220d4854a24facb2,Senior Full Stack Developer,5.0,The years of experience required for this job is 5.
"We are looking for a PHP developer with a passion for exploring new technologies and building scalable applications that perform well in terms of execution speed and data processing.

**Technical Requirements:**

* 2–3 years of experience in developing web applications with REST APIs, MySQL, and PHP frameworks.
* Proven experience in PHP development and creating REST (JSON) / SOAP (XML)\\\\-based web services.
* Hands\\\\-on experience with HTML5, JavaScript (jQuery), CSS, Bootstrap, and AJAX (experience in Angular or React is a plus).
* Basic understanding of security best practices for web applications (e.g., preventing SQL injection, XSS, CSRF).
* Proficiency in the LAMP stack (Linux, Apache, MySQL, PHP PDO). Ability to respond to integration requests and test web applications.
* Solid understanding of object\\\\-oriented PHP programming and familiarity with modern PHP frameworks.
* Bachelor’s degree in computer science, Engineering, or a related field is preferred.

**Responsibilities:**

* Manage the full application lifecycle, including concept, design, testing, production, maintenance, and support.
* Write clean, functional code to produce fully operational web applications.
* Gather and analyze requirements to suggest efficient solutions while ensuring a robust security layer.
* Collaborate with UI and technology teams to integrate designs and APIs into web applications.
* Work closely with the product development team to plan and implement new features.
* Stay current with emerging technologies, trends, and best practices in web development.
* Conduct research and implement new technologies based on project requirements.

Job Type: Full\\\\-time

Pay: ₹20,000\\\\.00 \\\\- ₹40,000\\\\.00 per month

Benefits:

* Health insurance
* Provident Fund

Schedule:

* Day shift

Education:

* Bachelor's (Preferred)

Experience:

* PHP: 2 years (Preferred)

Work Location: In person

Application Deadline: 13/12/2024  
Expected Start Date: 05/12/2024",https://in.indeed.com/viewjob?jk=6a93f2ef2167c5ad,PHP Developer,2.0,The years of experience required for this job is 2.
"**Senior PHP Developer**

**Location:** Kochi (Kadavanthra)  
**Salary:** Based on experience

**Job Summary:**  
We are seeking a skilled and motivated Senior PHP Developer to join our team. The ideal candidate should have 1\\\\-3 years of experience in PHP development, with a strong understanding of Angular and MVC frameworks. The role demands technical expertise, attention to detail, and the ability to work collaboratively on dynamic projects.

**Key Responsibilities:**

* Develop, maintain, and enhance web applications using PHP and Angular.
* Work with MVC frameworks to design scalable and efficient systems.
* Design and optimize MySQL databases to support application functionality.
* Write clean, well\\\\-documented, and efficient code.
* Collaborate with the front\\\\-end team to integrate user\\\\-facing elements with server\\\\-side logic.
* Troubleshoot, test, and maintain core product software to ensure strong optimization and functionality.
* Stay updated on emerging web development trends and best practices.
* Communicate effectively with team members and stakeholders.

**Skills and Qualifications:**

* Minimum 1\\\\-3 years of experience in PHP development.
* Proficiency in AngularJS and MVC frameworks.
* Strong knowledge of MySQL, HTML, CSS, and JavaScript.
* Excellent problem\\\\-solving skills and attention to detail.
* Good communication and teamwork abilities.
* Experience in full\\\\-stack development is an added advantage.

**Benefits:**

* Competitive salary based on experience.
* Opportunity to work in a collaborative and innovative environment.
* Professional growth and skill development.

Job Type: Full\\\\-time

Education:

* Bachelor's (Preferred)

Experience:

* PHP: 1 year (Preferred)
* total work: 1 year (Preferred)
* software development: 1 year (Preferred)

License/Certification:

* PHP (Preferred)

Work Location: In person",https://in.indeed.com/viewjob?jk=90294090f238d67d,Senior PHP Developer,1.0,The years of experience required for this job is 1.
"**In your new role you will:**  

  

* Lead the design and development of scalable, high\\\\-performance web applications using Java, Spring, and React.
* Collaborate with cross\\\\-functional teams to define, design, and ship new features.
* Ensure the technical feasibility of UI/UX designs.
* Mentor junior developers and provide technical guidance.
* Conduct code reviews to maintain code quality and ensure best practices.
* Stay updated with emerging technologies and propose innovative solutions.
* Write unit tests and integration tests to ensure application reliability.
* Participate in the deployment and continuous integration processes.
Troubleshoot and debug issues across the entire stack.  
* 

  

  

**You are best equipped for this task if you have:**  

  

* Bachelor’s or Master’s degree in Computer Science, Information Technology, or a related field.
* Minimum of 3\\\\+ years of experience in full stack web application development.
* Proven experience with Java, Spring Framework, and React.js.
* Experience with RESTful API design and development.
* Strong understanding of HTML, CSS, and JavaScript.
* Proficiency in version control systems, preferably Git.
* Experience with relational databases Oracle and MySQL
Knowledge of Agile/Scrum methodologies.  
* 

  

  

  

**Contact:**   

Chowta.external@infineon.com  

  

  

**\\\\#WeAreIn for driving decarbonization and digitalization.**  

As a global leader in semiconductor solutions in power systems and IoT, Infineon enables game\\\\-changing solutions for green and efficient energy, clean and safe mobility, as well as smart and secure IoT. Together, we drive innovation and customer success, while caring for our people and empowering them to reach ambitious goals. Be a part of making life easier, safer and greener.
  

**Are you in?**  

  

**We are on a journey to create the best Infineon for everyone.**  

This means we embrace diversity and inclusion and welcome everyone for who they are. At Infineon, we offer a working environment characterized by trust, openness, respect and tolerance and are committed to give all applicants and employees equal opportunities. We base our recruiting decisions on the applicant´s experience and skills.
  

Please let your recruiter know if they need to pay special attention to something in order to enable your participation in the interview process.
  

Click here for more information about Diversity \\\\& Inclusion at Infineon.",https://in.indeed.com/viewjob?jk=dc5ed7f1aef72ff9,Senior Specialist IT,3.0,The years of experience required for this job is 3.
"Job Description: We are seeking a skilled Full Stack Developer with a strong background in both front\\\\-end and back\\\\-end

development. The ideal candidate will have experience working with a diverse set of technologies and tools, including

Python, Java, REST\\\\-based web services, CRM portals, and deployment tools. This role requires someone who is versatile

in software methodologies, has experience with various databases, and is familiar with the deployment pipeline.

Knowledge of Salesforce is a plus.

Key Responsibilities:

* Design, develop, and maintain applications using Python, Core Java, and J2EE.
* Build and integrate REST\\\\-based web services, with expertise in Spring Boot and API management.
* Work with web technologies, including Node.js, TypeScript, JavaScript, HTML, CSS, and JSON, to create dynamic

and responsive user interfaces.

* Utilize database management systems such as MySQL and MongoDB to manage and maintain data integrity.
* Collaborate with cross\\\\-functional teams using Agile/Scrum methodologies to deliver high\\\\-quality software on

schedule.

* Implement version control using tools like GitHub, Bitbucket, and Gradle/Maven.
* Manage software deployment processes using Docker, Jenkins, and Kibana.
* Use tools such as VS Code, Eclipse IDE, IntelliJ, Postman, and Redis for efficient development workflows.
* Contribute to the development of CRM portals, and leverage knowledge of Salesforce when applicable.

Qualifications:

* Bachelor’s degree in computer science, Information Technology, or a related field.
* Proven experience in software development with a focus on Python, Core Java, J2EE, and RESTful services.
* Proficiency in front\\\\-end technologies including Node.js, TypeScript, JavaScript, HTML, CSS, and JSON parsing.
* Strong database skills with MySQL and MongoDB.
* Familiarity with Agile and Waterfall software development methodologies.
* Experience with deployment tools like Docker and Jenkins.
* Familiarity with version control tools such as GitHub and Bitbucket, and build tools like Gradle and Maven.
* Experience with CRM systems
* Knowledge of Salesforce is an added advantage

Job Types: Full\\\\-time, Permanent

Pay: Up to ₹100,000\\\\.00 per month

Benefits:

* Health insurance
* Work from home

Location Type:

* Remote

Schedule:

* Monday to Friday
* UK shift

Education:

* Bachelor's (Required)

Experience:

* Python: 5 years (Required)
* Java: 4 years (Required)

Work Location: Remote

Application Deadline: 05/12/2024",https://in.indeed.com/viewjob?jk=7d49691169fec551,Java/Python Developer,5.0,"The years of experience required for this job are 5 years in Python and 4 years in Java. Since we need to return a single value, we will return the maximum of these two values, which is 5."
"**Job Title**: Java Fullstack Developer

**Location**: Coimbatore and Remote  
**Employment Type**: Full\\\\-Time  
**Experience**: 3\\\\+ Years

**Qualifications**:

* Have at least 3 years experience on the JAVA, Springboot
* Angular applications. development and deployment of the JAVA, Spring Boot and Angular
* Should be able to work on Development OR maintenance/enhancement projects

Job Types: Full\\\\-time, Permanent

Location Type:

* In\\\\-person

Schedule:

* Day shift

Work Location: In person

**Speak with the employer**  
\\\\+91 9629311599",https://in.indeed.com/viewjob?jk=bb46c16caf624d55,Java Full Stack Developer,3.0,The years of experience required for this job is 3.
"No of Years of Experience7\\\\+ yrs  

Full\\\\-Stack developer with AWS Cloud expertise.  

Develop APIs, orchestrations, workflow, transformation, conditional, and application business logic using TypeScript (Java and the Spring Boot Framework in future) while using Lambda, Step Functions, Event Bridge, API Gateway, SES, SQS and SNS.  

As an AWS Application Developer, we able to follow GIT Workflow, develop and debug using CodeCommit, Code Pipeline, CloudWatch, CloudTrail etc.  

Be able to develop code to interact with DBs (Dynamo DB/Postgres RDS/S3\\\\) or other AWS services like Secrets Manager, KMS etc.


Primary Skills  

Typescript  

AWS Lambda and Step Functions  

NoSQL  

RDBMS


Secondary Skills  

Event Bridge, API Gateway, SES, SQS and SNS  

Secrets Manager, KMS  

React v18\\\\.8  

Java Springboot  

CodeCommit, CodePipeline, CloudWatch, CloudTrail

**About Virtusa**



Teamwork, quality of life, professional and personal development: values that Virtusa is proud to embody. When you join us, you join a team of 30,000 people globally that cares about your growth — one that seeks to provide you with exciting projects, opportunities and work with state of the art technologies throughout your career with us.



Great minds, great potential: it all comes together at Virtusa. We value collaboration and the team environment of our company, and seek to provide great minds with a dynamic place to nurture new ideas and foster excellence.



Virtusa was founded on principles of equal opportunity for all, and so does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non\\\\-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law. All employment is decided on the basis of qualifications, merit, and business need.",https://in.indeed.com/viewjob?jk=4671d071489c0f13,Typescript Developer,7.0,The years of experience required for this job is 7.
"**Java/J2EE/Python Full Stack Developer**  

As a member of Engineering Team for OFSAA\\\\-Platform \\\\& Cloud deployment, you will join the Oracle Financial Services Analytical Applications (OFSAA) team and take ownership and accountability to design, plan, implement and maintain product following ""best\\\\-practice"" approach for OFSAA suite that complies to Oracle Industry Cloud / Oracle Public Cloud and Bare\\\\-Metal Cloud standards \\\\& tech\\\\-stack  



**Description:**  

The Oracle Financial Services Global Business Unit, and specifically the Analytics (OFSAA) line of business, is responsible for the development and marketing of industry specific profitability, risk management, regulatory compliance and budgeting and planning, business intelligence and data foundation built on a common toolset / platform. As a key member of this team, you will build and deliver the next generation of these vital business solutions for the Financial Services industry
  

We have Software Developer positions open for designing, planning, implementing and maintaining frameworks following ""best\\\\-practice"" approach for toolsets / foundation components for the OFSAA Platform \\\\& Cloud deployment of OFSAA\\\\-SaaS offerings. These are crucial roles to ensure that the products / toolsets that we deliver are high quality products to banks across the globe. Leadership in this area, especially during our transition to the Cloud, is critical to ensure success of the products, the team and the group in general. We are looking for someone who will work in a scrum team of software engineers and be responsible for delivering the component or components under the scrum team(s). You will be responsible for ensuring high quality of components that are part of the toolset and services that are consumed by the OFSAA applications in an agile development environment. You will be working as an innovator; you will work with other Engineering, Quality Assurance and Product management teams to ensure solutions are thoroughly designed, developed and unit tested, ensure integrated with other components, within the OFSAA suite of products.  



**Primary Skills**

* Strong Experience in Java, Java EE, Spring boot or Python applications
* Expertise in XML, JSON, RESTFul API, reusable Java/Python libraries
* Expertise with HTML, CSS, and writing cross\\\\-browser compatible code
* Expertise with Oracle PLSQL/ SQL databases is required
* Design and develop user\\\\-friendly, reusable, intuitive, innovative, and a feel of next\\\\-generation User Interface
* Able to apply JEE design patterns \\\\& standard design practices
* Good in Collections, Generics, IO, Threads, and Functional Programming

**Secondary – Knowledge / Skills / Domain**

* Demonstrated work with cloud, mobile or open source technologies is a significant plus
* Ability to manage multiple priorities, and assess and adjust quickly to changing prioritize
* Machine learning, AI/ML
* Spark/PySpark, Hadoop/Hive
* k8s

**\\\\- Special considerations if any**

* Experience in working on products that have transitioned to 'Cloud' from a deployment perspective would be an added advantage.
* Collaboration and project management tools: JIRA, Confluence
* Energetic, Attention to details, software quality and ability to work independently.
* Relevant experience in Service\\\\-oriented architecture for cloud\\\\-based services
* Strong written, verbal and presentation skills
* Ability to work in a geographically distributed organization

Career Level \\\\- IC4


  
**RESPONSIBILITIES:**

* As part of the member of the FSGBU's flagship Analytics Platform, the candidate will be responsible for developing newer capabilities and be part of the Cloud journey that the product suite is embarking on and have a flair to explore and practice continuous integration, continuous delivery and agile methodologies.
Excellent understanding of test\\\\-driven development, Unit tests, code coverage, security, continuous build, integration and deployment etc  
* 

**REQUIREMENTS**

* Bachelor's Degree in Computer Science or Engineering or MCA
* 10\\\\+ years of Professional software development experience in Python, Java, J2ee, html\\\\-JavaScript
* Good knowledge, understanding and hands\\\\-on experience in building Highly Performant, Scalable and High Availability products
* Comply with good software engineering principles, including but not limited to standard coding, documentation, version control and testing practices.",https://in.indeed.com/viewjob?jk=d3ce4c91f594843f,Software Developer,10.0,The years of experience required for this job is 10.
